ธนาคารแห่งประเทศไทย
FM_RT_001_S2 : อัตราดอกเบี้ยในตลาดเงิน (ม.ค.2548-ก.ค.2568)
(อัตราร้อยละต่อปี)
ปรับปรุงล่าสุด : 08 ส.ค. 2568 10:00
วันที่เรียกข้อมูล : 11 พ.ย. 2568 00:59
,,ก.ค. 2568 p,มิ.ย. 2568 ,พ.ค. 2568 ,เม.ย. 2568 ,มี.ค. 2568 ,ก.พ. 2568 
1,อัตราดอกเบี้ยนโยบาย 1/,1.75,1.75,1.75,1.75,2.00,2.00
2,อัตราดอกเบี้ยในตลาดเงิน : ,,,,,,
3,   อัตราดอกเบี้ยเงินกู้ยืมข้ามคืนระหว่างธนาคาร 2/,1.70,1.70,1.70,1.94,1.95,2.06
4,      อัตราดอกเบี้ยเงินกู้ยืมข้ามคืนระหว่างธนาคาร : ต่ำสุด,1.65,1.65,1.65,1.65,1.90,1.90
5,      อัตราดอกเบี้ยเงินกู้ยืมข้ามคืนระหว่างธนาคาร : สูงสุด,1.76,1.76,1.76,2.01,2.01,2.26
6,   อัตราดอกเบี้ยตลาดซื้อคืนพันธบัตรภาคเอกชน 2/,,,,,,
7,      O/N,1.74,1.74,1.74,1.98,1.99,2.03
8,      1 สัปดาห์,1.75,1.67,1.74,1.93,2.00,2.22
9,   อัตราดอกเบี้ยธุรกรรมซื้อคืนพันธบัตรแบบทวิภาคีของ ธปท. 3/,,,,,,
10,      1 วัน,1.75,1.75,1.75,1.99,2.00,2.21
11,      7 วัน,1.75,1.75,1.75,1.99,2.00,2.21
12,      14 วัน,1.75,1.75,1.75,2.00,2.00,2.25
13,      1 เดือน,1.75,1.75,1.75,2.00,2.00,2.22
14,      2 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,      3 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,      6 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,   อัตราดอกเบี้ยระหว่างธนาคารในตลาดกรุงเทพฯ 2/,,,,,,
18,      1 สัปดาห์,1.77,1.77,1.77,2.02,2.02,2.25
19,      1 เดือน,1.79,1.80,1.80,2.04,2.05,2.27
20,      2 เดือน,1.84,1.84,1.85,2.09,2.10,2.32
21,      3 เดือน,1.89,1.89,1.90,2.14,2.15,2.37
22,      6 เดือน,1.92,1.93,1.94,2.19,2.20,2.43
23,      9 เดือน 4/,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,      1 ปี,2.02,2.03,2.04,2.29,2.30,2.53
25,   อัตราดอกเบี้ยการกู้ยืมเงินบาท 2/,,,,,,
26,      1 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27,      2 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28,      3 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
29,      6 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,      9 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,      12 เดือน,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,   หน้าต่างปรับสภาพคล่อง ณ สิ้นวัน 5/,,,,,,
33,      หน้าต่างปล่อยสภาพคล่อง ณ สิ้นวัน,2.25,2.25,2.25,2.25,2.50,2.50
34,      หน้าต่างดูดซับสภาพคล่อง ณ สิ้นวัน ,1.25,1.25,1.25,1.25,1.50,1.50
35,   อัตราผลตอบแทนตั๋วเงินคลังและพันธบัตรรัฐบาล 6/,,,,,,
36,      1 เดือน ,1.44,1.51,1.58,1.70,1.92,2.04
37,      3 เดือน ,1.44,1.51,1.57,1.70,1.92,2.05
38,      6 เดือน ,1.44,1.51,1.57,1.69,1.91,2.05
39,      1 ปี ,1.43,1.51,1.57,1.68,1.90,2.05
40,      2  ปี,1.35,1.47,1.57,1.56,1.84,2.02
41,      3  ปี,1.35,1.48,1.59,1.56,1.83,2.01
42,      4  ปี,1.36,1.50,1.63,1.61,1.88,2.06
43,      5  ปี,1.37,1.50,1.64,1.63,1.90,2.08
44,      6  ปี,1.42,1.55,1.72,1.71,1.97,2.14
45,      7  ปี,1.48,1.61,1.79,1.80,2.03,2.19
46,      8  ปี,1.51,1.65,1.82,1.86,2.09,2.25
47,      9  ปี,1.53,1.67,1.85,1.91,2.12,2.27
48,      10 ปี,1.54,1.68,1.86,1.92,2.12,2.27
49,      11 ปี,1.58,1.70,1.92,1.97,2.18,2.31
50,      12  ปี,1.65,1.76,2.01,2.05,2.24,2.37
51,      13  ปี,1.70,1.84,2.08,2.10,2.30,2.43
52,      14  ปี,1.71,1.86,2.10,2.10,2.33,2.47
53,      15  ปี,1.72,1.88,2.11,2.10,2.34,2.48
54,      16  ปี,1.82,2.01,2.22,2.20,2.40,2.52
55,      17  ปี,1.92,2.14,2.34,2.33,2.48,2.58
56,      18  ปี,2.02,2.24,2.45,2.42,2.55,2.63
57,      19  ปี,2.03,2.26,2.47,2.44,2.58,2.65
58,      20  ปี,2.04,2.29,2.48,2.46,2.59,2.65
59,   อัตราผลตอบแทนพันธบัตรรัฐวิสาหกิจ (แสดงค่าส่วนเพิ่มจากพันธบัตรรัฐบาล) 7/,,,,,,
60,        0-1 ปี : ต่ำสุด,9.20,9.00,9.30,8.80,9.25,8.93
61,        0-1 ปี : สูงสุด,12.20,11.02,11.82,11.43,11.35,10.51
62,      >1-3 ปี : ต่ำสุด,11.33,11.02,11.46,10.94,11.19,11.04
63,      >1-3 ปี : สูงสุด,16.40,15.71,16.68,17.43,16.65,15.83
64,      >3-6 ปี : ต่ำสุด,15.50,15.21,15.71,14.88,15.33,15.02
65,      >3-6 ปี : สูงสุด,23.75,20.40,22.83,22.10,22.02,20.69
