Column 1,stationId,name,nameEng,geoLat,geoLng,lineName,lineNameEng,lineColorHex,lineServiceName
1,A1,สุวรรณภูมิ,Suvamabhumi,13.69843046,100.7522222,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
2,A2,ลาดกระบัง,Lat Krabang,13.7276,100.7486,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
3,A3,บ้านทับช้าง,Ban Thap Chang,13.73281412,100.6913183,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
4,A4,หัวหมาก,Hua Mak,13.753338,100.636,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
5,A5,รามคำแหง,Ramkhamhaeng,13.74303274,100.6001506,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
6,A6,มักกะสัน,Makkasan,13.75118824,100.5607539,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
7,A7,ราชปรารภ,Ratchaprarop,13.75519935,100.5421223,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
8,A8,พญาไท,Phaya Thai,13.7567669,100.5348418,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,#0332F8,AIRPORTLINK
9,N1,ราชเทวี,Ratchathewi,13.75224802,100.5315666,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
10,N2,พญาไท,Phaya Thai,13.75674563,100.533654,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
11,N3,อนุสาวรีย์ชัยสมรภูมิ,Victory Monument,13.76293888,100.5371172,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
12,N4,สนามเป้า,Sanam Pao,13.7728504,100.5420494,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
13,N5,อารีย์,Ari,13.78030187,100.5446113,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
14,N7,สะพานควาย,Saphan Khwai,13.7938809,100.5497631,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
15,N8,หมอชิต,Mo Chit,13.80250429,100.5538203,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
16,N9,ห้าเเยกลาดพร้าว,Ha Yaek Lat Phrao,13.81660668,100.5618534,สายสุขุมวิท,Sukhumvit Line,#92D04E,BTS
