สถิติจำนวนประชากร,,,,,,,,,
จังหวัดกรุงเทพมหานคร,,,,,,,,,
ข้อมูลเดือน ธันวาคม 2562,,,,,,,,,
พื้นที่,ชาย(ไทย),หญิง(ไทย),รวม(ไทย),ชาย(ไม่ใช่ไทย),หญิง(ไม่ใช่ไทย),รวม(ไม่ใช่ไทย),ชาย(รวม),หญิง(รวม),รวม(รวม)
ยอดรวมทั้งหมด,"2,609,200","2,947,431","5,556,631","60,116","49,517","109,633","2,669,316","2,996,948","5,666,264"
ท้องถิ่นเขตพระนคร,"22,580","24,306","46,886",500,315,815,"23,080","24,621","47,701"
ท้องถิ่นเขตดุสิต,"47,624","40,407","88,031",991,747,"1,738","48,615","41,154","89,769"
ท้องถิ่นเขตหนองจอก,"85,473","90,201","175,674",209,139,348,"85,682","90,340","176,022"
ท้องถิ่นเขตบางรัก,"17,255","20,619","37,874","5,579","4,774","10,353","22,834","25,393","48,227"
ท้องถิ่นเขตบางเขน,"88,781","99,378","188,159",492,349,841,"89,273","99,727","189,000"
ท้องถิ่นเขตบางกะปิ,"65,532","78,838","144,370","1,027",711,"1,738","66,559","79,549","146,108"
ท้องถิ่นเขตปทุมวัน,"20,020","23,975","43,995","1,734","1,356","3,090","21,754","25,331","47,085"
ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,"19,817","21,015","40,832","1,419","1,234","2,653","21,236","22,249","43,485"
ท้องถิ่นเขตพระโขนง,"39,896","48,395","88,291",395,312,707,"40,291","48,707","88,998"
ท้องถิ่นเขตมีนบุรี,"66,897","74,943","141,840",443,303,746,"67,340","75,246","142,586"
ท้องถิ่นเขตลาดกระบัง,"84,264","92,844","177,108",380,281,661,"84,644","93,125","177,769"
ท้องถิ่นเขตยานนาวา,"35,320","40,764","76,084","1,046",684,"1,730","36,366","41,448","77,814"
ท้องถิ่นเขตสัมพันธวงศ์,"10,499","11,180","21,679",478,306,784,"10,977","11,486","22,463"
ท้องถิ่นเขตพญาไท,"33,671","34,469","68,140",714,528,"1,242","34,385","34,997","69,382"
ท้องถิ่นเขตธนบุรี,"48,929","55,584","104,513",829,707,"1,536","49,758","56,291","106,049"
