YEAR,QUARTER,REGION,SEX,AGE_GROUP,VALUE,UNIT,SOURCE
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,ยอดรวม,1.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"15-19 ปี",3.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"20-24 ปี",8.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"25-29 ปี",.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"30-34 ปี",1.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"35-39 ปี",.14,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"40-49 ปี",.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"50-59 ปี",.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาสที่ 4","5) ภาคใต้",หญิง,"60 ปีขึ้นไป",.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 1",ภาคเหนือ,รวม,ยอดรวม,.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 1",ภาคใต้,หญิง,"60 ปีขึ้นไป",.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 2",ภาคเหนือ,รวม,ยอดรวม,2.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 2",ภาคใต้,หญิง,"60 ปีขึ้นไป",.56,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 3",ภาคเหนือ,รวม,ยอดรวม,1.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 3",ภาคใต้,หญิง,"60 ปีขึ้นไป",.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 4",ภาคเหนือ,รวม,ยอดรวม,1.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,"ไตรมาส 4",ภาคใต้,หญิง,"60 ปีขึ้นไป",.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 1",ภาคเหนือ,รวม,ยอดรวม,1.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 1",ภาคใต้,หญิง,"60 ปีขึ้นไป",.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 2",ภาคเหนือ,รวม,ยอดรวม,1.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 2",ภาคใต้,หญิง,"60 ปีขึ้นไป",.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 3",ภาคเหนือ,รวม,ยอดรวม,1.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 3",ภาคใต้,หญิง,"60 ปีขึ้นไป",.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,ยอดรวม,1.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"60 ปีขึ้นไป",.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,ยอดรวม,1.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"15 - 19 ปี",6.27,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"20 - 24 ปี",6.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"25 - 29 ปี",3.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"30 - 34 ปี",1.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
